league,week,franchise_id,franchise_score,opponent_id,opponent_score,result,diff_score,diff_rank,total_score,total_rank,franchise_name,user_name,franchise_name_opponent,user_name_opponent
LTS Bowl - L4,1,8,96.46,6,145.72,L,49.260000000000005,11,242.18,47,SLOPPY STEAKS,CommieEsq,The New Age Process,armandoguzman
LTS Bowl - L4,1,9,210.22,1,175.47,W,34.75,24,385.69,1,York Mobile Detailing,Bmullin105,The Lib Owners,nak97
LTS Bowl - L4,1,10,186.29,4,185.09,W,1.1999999999999886,63,371.38,2,Charity Cases,crackofdawn321,Poop on the Cob,Joker1b
LTS Bowl - L4,1,11,146.93,3,142.22,W,4.710000000000008,54,289.15,39,Trailer Park Pimpin',JusCasKarDad,Trailing Daler,teamdaler
LTS Bowl - L4,1,12,160.64,7,159.78,W,0.8599999999999852,66,320.41999999999996,21,Shake and Bake,gogata12345,outshine13,outshine13
LTS Bowl - L4,2,1,121.6,8,163.81,L,42.21000000000001,15,285.40999999999997,41,The Lib Owners,nak97,SLOPPY STEAKS,CommieEsq
LTS Bowl - L4,2,2,238.18,12,118.26,W,119.92,1,356.44,8,Chiotan Deck,apulianas,Shake and Bake,gogata12345
LTS Bowl - L4,2,3,120.54,9,141.25,L,20.709999999999994,32,261.79,45,Trailing Daler,teamdaler,York Mobile Detailing,Bmullin105
LTS Bowl - L4,2,4,146.07,5,141.41,W,4.659999999999997,55,287.48,40,Poop on the Cob,Joker1b,West Coast Aunt,IreneTurner
LTS Bowl - L4,2,5,141.41,4,146.07,L,4.659999999999997,55,287.48,40,West Coast Aunt,IreneTurner,Poop on the Cob,Joker1b
LTS Bowl - L4,2,6,192.14,7,123.8,W,68.33999999999999,5,315.94,23,The New Age Process,armandoguzman,outshine13,outshine13
LTS Bowl - L4,2,7,123.8,6,192.14,L,68.33999999999999,5,315.94,23,outshine13,outshine13,The New Age Process,armandoguzman
LTS Bowl - L4,2,8,163.81,1,121.6,W,42.21000000000001,15,285.40999999999997,41,SLOPPY STEAKS,CommieEsq,The Lib Owners,nak97
LTS Bowl - L4,2,9,141.25,3,120.54,W,20.709999999999994,32,261.79,45,York Mobile Detailing,Bmullin105,Trailing Daler,teamdaler
LTS Bowl - L4,2,10,162.45,11,127,W,35.44999999999999,22,289.45,38,Charity Cases,crackofdawn321,Trailer Park Pimpin',JusCasKarDad
LTS Bowl - L4,2,11,127,10,162.45,L,35.44999999999999,22,289.45,38,Trailer Park Pimpin',JusCasKarDad,Charity Cases,crackofdawn321
LTS Bowl - L4,2,12,118.26,2,238.18,L,119.92,1,356.44,8,Shake and Bake,gogata12345,Chiotan Deck,apulianas
LTS Bowl - L4,3,1,1,7,0,NA,1,64,1,67,The Lib Owners,nak97,outshine13,outshine13
